strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Tangerine Dream,Barneys Farm Seeds,"Sativa strain with tangerine flavors, short flowering time, high yields, relaxing effects. Storage tips included.",23.4,,,3 Feminised Seeds (GBP 23.40) | 5 Feminised Seeds (GBP 33.20) | 10 Feminised Seeds (GBP 57.60) | 50 Feminised Seeds (GBP 273.61) | 100 Feminised Seeds (GBP 518.40),https://www.seed-city.com/barneys-farm-seeds/tangerine-dream,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTangerine_Dream_5c0f28fecbe97_120x140.jpg&newxsize=120&newysize=140&fileout=,"The Tangerine Dream strain, developed by Barneys Farm, is predominantly sativa, providing a quick-acting, relaxing, and cerebral high. It is known for its tangy tangerine aromas and flavors. This plant reaches maturity in just 65 days, but requires support during the later stages of growth due to its structure and the weight of its colas. When cultivated indoors, Tangerine Dream can reach up to a meter in height and yield up to 600g per square meter, thanks to its large, heavy colas adorned with vibrant red and orange trichomes. This strain is characterized by a 60% sativa and 40% indica genetic makeup. To maintain viability, seeds should be stored in a cool, dark place in an airtight container in the refrigerator, clearly labeled and dated, yet not frozen.",,,Feminized,12/12 Photoperiod,Sativa Dominant,Feminised,,"Indoor, Outdoor, Greenhouse",Super Strength,"Cerebral, Relaxing","Berry, Citrus, Orange, Sweet","Body Relaxing, Cerebral, Euphoria, Uplifting",,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,,,,In Stock,,
Columbian Gold Ryder,World of Seeds,"Hybrid strain with longer flowering cycle, 40-120cm tall. Sweet fruit flavor, euphoric effects, medium resistance to mold and pests.",5.36,,,1 Single Feminised Seed (GBP 5.36) | 3 Feminised Seeds (GBP 18.80) | 7 Feminised Seeds (GBP 37.60) | 12 Feminised Seeds (GBP 53.60) | 60 Feminised Seeds (GBP 254.60) | 120 Feminised Seeds (GBP 482.40),https://www.seed-city.com/world-of-seeds/colombian-gold-ryder,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSweet_Coffee_Ryd_572b93ab2b17d_120x140.jpg&newxsize=120&newysize=140&fileout=,"Sweet Coffee Ryder is a hybrid autoflowering cannabis strain derived from Colombian Gold, a pure sativa from Colombia’s Santa Marta range, crossed with Ruderalis for its autoflowering properties. It exhibits hybrid characteristics with slightly longer flowering phase typical of its sativa lineage, achieving heights between 40 and 120cm. It produces a main central bud and multiple sizeable lateral branches.
Flowering is independent of light cycles, allowing for year-round cultivation with potentially better yields under optimal conditions. For outdoor cultivation, planting at the start of good weather and again just before the first harvest can yield two productive harvests per year. Indoor cultivation is said to be suggested under a 20/4 light/dark cycle.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Normal,,,EUPHORIC,,SWEET FRUIT,19%,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Cherry OG,Emerald Triangle Seeds,"Flavorful, potent strain with dense buds. Cherry Thai and Lost Coast OG genetics for high yield and uplifting, relaxing effects.",15.74,,,3 Feminised Seeds (GBP 18.90) | 5 Feminised Seeds (GBP 29.40) | 10 Feminised Seeds (GBP 57.76) | 50 Feminised Seeds (GBP 274.36) | 100 Feminised Seeds (GBP 519.84) | 3 Regular Seeds (GBP 15.74) | 6 Regular Seeds (GBP 29.40) | 12 Regular Seeds (GBP 52.50) | 60 Regular Seeds (GBP 249.38) | 120 Regular Seeds (GBP 472.50),https://www.seed-city.com/emerald-triangle-seeds/cherry-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCherry_OG_5c66fe579d960_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor, Greenhouse",Normal,Uplifting,"Cherry, Fruity, Sour, Sweet",,,"Berry, Sour",,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Blue Mistic,Royal Queen Seeds,"Blue Mystic is a short, bushy plant with a sweet, fruity taste and potent Indica stone effect.",17.8,,,3 Feminised Seeds (GBP 17.80) | 5 Feminised Seeds (GBP 26.80) | 10 Feminised Seeds (GBP 49.20) | 50 Feminised Seeds (GBP 233.70) | 100 Feminised Seeds (GBP 442.80),https://www.seed-city.com/royal-queen-seeds/blue-mistic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Mistic_5696dac855488_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,Sativa 20% Indica 80%,Feminized,"Indoor, Outdoor, Greenhouse",Normal,Body Stone,Sweet,Stoned,Short Summers,"Candy, Fruity",18%,Medium,375 - 425 gr/m2,400 - 450 gr/plant,60 - 100 cm,180 - 220 cm,Medium (81cm - 140cm),Medium (56 to 90 days),,8 - 9 weeks,October,Oregon Blueberry x Northern Light,In Stock,,
Ice,Royal Queen Seeds,"Compact indica plant with resin-covered buds, high yield, perfect for hash-making. Relaxing effects and earthy flavor.",17.8,,,3 Feminised Seeds (GBP 17.80) | 5 Feminised Seeds (GBP 26.80) | 10 Feminised Seeds (GBP 49.20) | 50 Feminised Seeds (GBP 233.70) | 100 Feminised Seeds (GBP 442.80),https://www.seed-city.com/royal-queen-seeds/ice,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FIce_646273e9eb68c_120x140.jpg&newxsize=120&newysize=140&fileout=,"Indica Crystal Extreme (ICE) is a resin-covered indica-dominant hybrid, the result of crossing Afghan, Northern Light, and Skunk strains. Ideal for hash makers, it shines with a coat of trichomes by bloom's end, making it Royal Queen Seeds' top pick for hash production.",,,Feminized,12/12 Photoperiod,Indica Dominant,Sativa 10% Indica 90%,Feminized,"Indoor, Outdoor, Greenhouse",Normal,,Sweet,"Physically Relaxing, Stoned",Short Summers,"Earthy, Mint, Pepper, Pine",18%,Low,400 - 450 gr/m2,500 - 550 gr/plant,80 - 120 cm,150 - 200 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,8 - 10 weeks,September,Afghan x Northern Light x Skunk,In Stock,,
Delicious Candy,Delicious Seeds,"Potent strain with sweet cheese scent. Narcotic effect, high mold resistance, good for medicinal use.",26.8,,,5 Feminised Seeds (GBP 42.00) | 10 Feminised Seeds (GBP 75.80) | 50 Feminised Seeds (GBP 360.05) | 100 Feminised Seeds (GBP 682.20) | 7 Regular Seeds (GBP 26.80) | 35 Regular Seeds (GBP 127.30) | 70 Regular Seeds (GBP 241.20),https://www.seed-city.com/delicious-seeds/delicious-candy,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FDelicious_Candy_570440791a865_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,,,,"Indoor, Outdoor",Super Strength,"Euphoric, Narcotic, Relaxing",Sweet,NARCOTIC,,SWEET,22.4%,,,,,,,Medium (56 to 90 days),The End of September,,,,In Stock,,
Blue Cheese Automatic,Big Buddha Seeds,"Fast-growing strain with stoney, cheesy aroma. Cosmic high with fruity and spicy flavors.",25.6,32.0,20.0,5 Feminised Seeds (GBP 25.60) | 10 Feminised Seeds (GBP 38.40) | 50 Feminised Seeds (GBP 182.40) | 100 Feminised Seeds (GBP 345.60),https://www.seed-city.com/big-buddha-seeds/blue-cheese-automatic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Cheese_Auto_548a31f734257_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,,,,Indoor,Normal,,Cheese,,,,,,,,,,,,,75-95 days from seed to harvest.,,,In Stock,Cannabis Seeds Currently on Sale,
Royal Jack Automatic,Royal Queen Seeds,"Uplifting strain with peppery aroma. Easy to grow, creative and energizing effects. Yields up to 400g/m� indoors.",22.4,,,3 Feminised Seeds (GBP 22.40) | 5 Feminised Seeds (GBP 33.40) | 10 Feminised Seeds (GBP 62.60) | 50 Feminised Seeds (GBP 297.36) | 100 Feminised Seeds (GBP 563.40),https://www.seed-city.com/royal-queen-seeds/royal-jack-automatic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRoyal_Jack_Autom_64628af799a16_120x140.jpg&newxsize=120&newysize=140&fileout=,"Jack Herer, named after the famous cannabis legalization activist, is a potent Sativa-dominant strain known for its uplifting high and peppery aroma. Its legacy continues with Royal Jack Automatic, an easy-to-grow autoflowering variant that maintains the original strain's characteristics. Royal Jack is perfect for both indoor and outdoor cultivation, offering a creative and energizing high with a relaxing undertone due to its Haze, Northern Lights, and Skunk genetics. The strain has a fresh, smooth smoke with a spicy herbal taste, and yields average amounts both indoors and outdoors. Royal Queen Seeds celebrates Jack Herer's contribution to the cannabis movement with this autoflowering strain.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Creative, Relaxing, Uplifting","Herbal, Peppery",,,,,,,,,,Short (up to 80cm),Medium (56 to 90 days),,,,,In Stock,,
Dark Devil Auto,Sweet Seeds,"Purple genetics, fast flowering, sweet aroma, dark buds. Strong hybrid vigor, resin production. Multiple awards.",24.4,,,3 Feminised Seeds (GBP 24.40) | 5 Feminised Seeds (GBP 40.60) | 25 Feminised Seeds (GBP 82.60) | 125 Feminised Seeds (GBP 392.35) | 250 Feminised Seeds (GBP 743.40),https://www.seed-city.com/sweet-seeds/dark-devil-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FDark_Devil_Auto_56d5e29a723b8_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,"Citrus, Fruity, Incense, Sweet",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Tangelo Rapido Auto,Barneys Farm Seeds,"Balanced sativa-dominant strain with citrus flavors. Short plants, strong branches. Medium medical benefits, high stability.",21.4,,,3 Feminised Seeds (GBP 21.40) | 5 Feminised Seeds (GBP 30.40) | 10 Feminised Seeds (GBP 52.80) | 50 Feminised Seeds (GBP 250.80) | 100 Feminised Seeds (GBP 475.20),https://www.seed-city.com/barneys-farm-seeds/tangelo-rapido-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTangerine_Dream__5c0f2902b4fdd_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,Feminised,,"Indoor, Outdoor",Normal,"Cerebral, Relaxing","Citrus, Orange, Sweet, Tangy","Balanced, Cerebral, Relaxing, Comforting",Hot & Temperate,,,,,,,,Short (up to 80cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Auto Jack Herer,Advanced Seeds,"Genetic based on Jack Herer with resin production, dense buds, and powerful effects. Indoor yield 350-400g/m2, THC 15%, indoor height 75-100cm.",17.0,,,3 Feminised Seeds (GBP 17.00) | 5 Feminised Seeds (GBP 29.40) | 25 Feminised Seeds (GBP 139.65) | 50 Feminised Seeds (GBP 264.60),https://www.seed-city.com/advanced-seeds/auto-jack-herer,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Jack_Herer_5702a48d4d2e3_120x140.jpg&newxsize=120&newysize=140&fileout=,"Derived from the iconic Jack Herer strain, this new genetic shines in resin production, showcasing huge, bright trichomes early in flowering. It boasts extraordinarily dense, long buds with a complex aroma and taste of spices and woods. Known for its potent, fast-acting effects, it presents a blend of exhilarating mental rush and physical vigor, making it one of the strongest auto-flowering options for cultivators.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,,"Spicy, Woodsy",,,,15%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Fruit Punch,Heavyweight Seeds,Fast flowering sativa with big yields and sweet smoke. Uplifting high for social occasions and pain relief. Easy to grow for beginners and commercial growers.,19.6,,,3 Feminised Seeds (GBP 19.60) | 5 Feminised Seeds (GBP 29.00),https://www.seed-city.com/heavyweight-seeds/fruit-punch,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FFruit_Punch_5695bfdf04d76_120x140.jpg&newxsize=120&newysize=140&fileout=,"Fruit Punch is a sativa-dominant strain known for quick flowering, yielding large crops, and a sweet smoke that delivers an uplifting and creative high. Ideal for social gatherings, daytime use, and effective pain relief without inducing couch lock. It's an easy-to-grow strain favored by both beginners and commercial growers for its reliability and robust output. Once experienced, it often becomes a repeat choice for many.",,,Feminized,12/12 Photoperiod,Sativa Dominant,mostly sativa,,"Indoor, Outdoor",Super Strength,"Couch Lock, Creative, General Pain, Social, Uplifting","Fruity, Sweet",,,,22%,1.2%,,,,,,Short (up to 55 days),The End of September,8 weeks,,,In Stock,,
Kali and the Chocolate Factory,Kali's Fruitful Cannabis Seeds,"Flavorful and potent strain with Kali Mist, G13 Skunk, and Chocolope Kush genetics. 80% Indica, medium height, 17-20% THC, 7-10 weeks flowering, high yields.",7.5,,,1 Feminised Seed (GBP 7.50) | 5 Feminised Seeds (GBP 33.30) | 25 Feminised Seeds (GBP 158.18) | 50 Feminised Seeds (GBP 299.70),https://www.seed-city.com/kali-s-fruitful-cannabis-seeds/kali-and-the-chocolate-factory,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FKali_s_Fruitful__52b483ecbd215_120x140.jpg&newxsize=120&newysize=140&fileout=,"A favourite at Krippling Seedmongers, Kali and the Chocolate Factory is acclaimed for its enviable flavor. This strain, a complex blend of 50% Kali Mist, 25% G13 Skunk, and 25% Chocolope Kush, was developed with perseverance and faith, resulting in a spectacularly pleasing experience. Some plants may exhibit a dominance of either G13 Skunk or Chocolope Kush, each variation equally enjoyable.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,Chocolate,,,,17-20%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),"Beginning of October, Middle of October",,,,In Stock,,
Louis XIII OG,Cali Connection Seeds,"High-yielding plant with lemon/fuel/kerosene fragrance, thick stem, large leaf structure. Flowering time 65-70 days.",13.98,,,1 Single Feminised Seed (GBP 13.98) | 6 Feminised Seeds (GBP 69.90) | 30 Feminised Seeds (GBP 332.03) | 60 Feminised Seeds (GBP 629.10),https://www.seed-city.com/cali-connection-seeds/louis-xiii-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLouis_XIII_OG_56c35119492ca_120x140.png&newxsize=120&newysize=140&fileout=,"Louis XIII, a renowned clone from Los Angeles and its surrounding areas, combines with Tahoe OG Kush S1 to create the high-yielding Louis XIII OG Kush. This strain stands out for its lemony, fuel-like aroma, robust stem, and larger foliage, ensuring a substantial production rate. The breeding process involves female seeds from a mix of Louis XIII and Tahoe Kush S1 reverse male, while regular seeds come from a crossing with SFV OG Kush IBL. It blooms over 65-70 days.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,"Citrus, Fuel, Lemon",,,,,,,,,,,Medium (56 to 90 days),,65-70 Days,,,In Stock,,Most Popular Cannabis Seeds
Superb OG,Heavyweight Seeds,"Potent strain with indica and sativa effects. Lemony diesel taste, relaxed and euphoric experience.",6.96,,,1 Single Feminised Seed (GBP 6.96) | 3 Feminised Seeds (GBP 19.60) | 5 Feminised Seeds (GBP 29.00) | 10 Feminised Seeds (GBP 53.40) | 50 Feminised Seeds (GBP 253.65) | 100 Feminised Seeds (GBP 480.60),https://www.seed-city.com/heavyweight-seeds/superb-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSuperb_OG_54485453d981c_120x140.jpg&newxsize=120&newysize=140&fileout=,"Heavyweight team meticulously developed a unique OG Kush variant named Superb OG, combining the best traits of all OG strains. After years of quality and flavor testing, they have introduced what they consider to be the pinnacle of OG Kush - showcasing intense strength and a delightful lemony diesel taste. This hybrid offers users a balanced effect of relaxation and euphoria, paying homage to the Original Gangster's renowned potency and flavor.",,,Feminized,12/12 Photoperiod,Indica Dominant,"Sativa 40%, Indica 60%",,"Indoor, Outdoor",Super Strength,"Euphoric, Relaxing",Lemon,,,,20-24%,0.3%,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8 Weeks,,,In Stock,,Most Popular Cannabis Seeds
Chocolate Haze,Royal Queen Seeds,"Sweet, happy high with high THC levels. Airy sativa high, fruity, chocolate flavor. Resilient, easy to grow outdoors, large harvest.",20.6,,,3 Feminised Seeds (GBP 20.60) | 5 Feminised Seeds (GBP 31.20) | 10 Feminised Seeds (GBP 58.00) | 50 Feminised Seeds (GBP 275.50) | 100 Feminised Seeds (GBP 522.00),https://www.seed-city.com/royal-queen-seeds/chocolate-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FChocolate_Haze_55132496b7d48_120x140.jpg&newxsize=120&newysize=140&fileout=,"Chocolate Haze, a phenotype of Chocolope, offers a sweet, uplifting high, originating from its OG Chocolate Thai and Cannalope Haze lineage. It's a sativa-dominant strain with low mold resistance, demanding careful early growth but rewarding with feminized, high-yield harvests. Ideal for afternoon use, it promotes an intellectual, euphoric high suitable for creative activities. With high THC levels, Chocolate Haze boosts mood and energy, making it a perfect addition to your morning routine.",,"This strain provides a cerebral high, enhancing creativity and mood with a powerful euphoria. The smoke is characterized by a fruity aroma with a strong chocolate flavor, reminiscing the 1980s. Suitable for wake and bake, it augments morning coffee effectively.",Feminized,12/12 Photoperiod,Sativa Dominant,Sativa 95% Indica 5%,Feminized,"Indoor, Outdoor",Super Strength,"Depression, Euphoric, General Pain, Migraine Relief, Stress Relief",Chocolate,Heavy,Long Summers,"Chocolate, Earthy, Fruity",20%,Low,475 - 525 gr/m2,450 - 500 gr/plant,90 - 160 cm,150 - 200 cm,Tall (140cm plus),Medium (56 to 90 days),The End of October,9 - 11 weeks,Late October,OG Chocolate Thai x Cannalope Haze,In Stock,,
